id,season,date,home_team_id,away_team_id,home_score,away_score,home_win,home_avg_pts,away_avg_pts_allowed,home_win_pct,home_rest_days
180,2024,2025-01-25,1,28,94,117,True,121.1,113.0,0.625,2.0
459,2024,2025-03-08,1,12,120,118,True,116.9,117.33333333333333,0.55,2.0
576,2024,2025-03-23,1,23,132,119,True,119.1,134.33333333333334,0.65,1.0
732,2024,2025-04-13,1,22,117,105,True,121.1,110.33333333333333,0.65,7.0
871,2023,2024-01-17,2,27,117,98,True,128.75,117.0,,4.0
968,2023,2024-01-30,2,12,129,124,True,119.75,120.25,0.75,1.0
119,2024,2025-01-17,2,22,121,94,False,114.8,113.0,0.6666666666666666,5.0
191,2024,2025-01-27,2,11,112,114,False,111.3,117.66666666666667,0.5714285714285714,9.0
311,2024,2025-02-12,2,27,116,103,True,115.7,116.75,0.5882352941176471,6.0
445,2024,2025-03-06,2,23,123,105,True,118.0,131.5,0.6,1.0
463,2024,2025-03-08,2,14,111,101,True,117.6,118.0,0.6,2.0
474,2024,2025-03-10,2,29,114,108,True,117.8,129.0,0.6,2.0
490,2024,2025-03-12,2,21,112,118,False,116.8,124.0,0.6,2.0
666,2024,2025-04-04,2,24,123,103,True,114.4,124.66666666666667,0.55,2.0
733,2024,2025-04-13,2,4,93,86,True,113.7,115.33333333333333,0.5,2.0
862,2023,2024-01-15,3,16,95,96,False,115.33333333333333,98.66666666666667,,8.0
913,2023,2024-01-23,3,20,103,108,False,112.25,108.66666666666667,,8.0
943,2023,2024-01-27,3,11,106,104,True,108.16666666666667,114.75,0.3333333333333333,2.0
958,2023,2024-01-29,3,29,147,114,True,113.71428571428571,133.5,0.42857142857142855,2.0
980,2023,2024-01-31,3,24,120,136,False,114.5,123.5,0.375,2.0
24,2024,2025-01-04,3,23,94,123,True,112.22222222222223,124.0,0.4444444444444444,339.0
41,2024,2025-01-06,3,12,99,113,True,110.9,116.0,0.5,2.0
59,2024,2025-01-08,3,9,98,113,True,108.3,115.0,0.5454545454545454,2.0
149,2024,2025-01-21,3,20,95,99,False,105.1,105.25,0.5,13.0
155,2024,2025-01-22,3,24,84,108,True,104.0,115.6,0.5384615384615384,1.0
177,2024,2025-01-25,3,16,97,106,True,103.4,98.25,0.5714285714285714,3.0
254,2024,2025-02-04,3,11,99,97,True,102.9,111.6,0.625,8.0
262,2024,2025-02-05,3,30,102,119,False,98.4,108.33333333333333,0.5882352941176471,1.0
